周次,文档索引,日期,标签,主要主题,主题概率,主题0概率,主题1概率,主题2概率,主题3概率,主题4概率,主题5概率,主题6概率,主题7概率
2,4724,2025-11-19 08:25:57,people,1,0.99232,0.0010971266,0.99232,0.0010971267,0.0010971266310662031,0.0010971266310662031,0.001097126747481525,0.001097263884730637,0.0010971266310662031
2,4725,2025-11-19 08:36:01,people,1,0.9975544,0.00034936887,0.9975544,0.00034936887,0.0003493689000606537,0.00034936887095682323,0.0003493689000606537,0.00034936887095682323,0.00034936887095682323
2,4726,2025-11-19 08:31:18,people,1,0.99124277,0.0012509878,0.99124277,0.0012509878,0.0012509877560660243,0.0012509877560660243,0.0012509877560660243,0.001251318957656622,0.0012509877560660243
2,4727,2025-11-19 08:35:58,people,1,0.9928675,0.0010189172,0.9928675,0.0010189171,0.0010189171880483627,0.001018917071633041,0.001018917071633041,0.0010189618915319443,0.001018917071633041
2,4728,2025-11-19 06:36:30,people,1,0.9974622,0.00036253728,0.9974622,0.0003625373,0.0003625373065005988,0.00036253727739676833,0.0003625373065005988,0.00036253727739676833,0.00036253727739676833
2,4729,2025-11-19 06:39:28,people,1,0.9915,0.0012142815,0.9915,0.0012142815,0.0012142815394327044,0.0012142815394327044,0.0012142816558480263,0.0012142815394327044,0.0012142815394327044
2,4730,2025-11-19 06:39:28,people,1,0.99016047,0.0014056227,0.99016047,0.0014056227,0.0014056226937100291,0.0014056226937100291,0.0014056226937100291,0.001405817805789411,0.0014056226937100291
2,4731,2025-11-18 11:29:04,people,1,0.9949628,0.0007195859,0.9949628,0.00071958604,0.0007195859216153622,0.0007195859216153622,0.000719586038030684,0.0007196954102255404,0.0007195859216153622
2,4732,2025-11-18 13:19:04,people,1,0.9512422,0.0069652954,0.9512422,0.0069652954,0.006965295411646366,0.0069652944803237915,0.006965297274291515,0.006966033484786749,0.006965297274291515
2,4733,2025-11-18 15:23:33,people,1,0.995425,0.000653573,0.995425,0.000653573,0.0006535730208270252,0.0006535729044117033,0.000653573137242347,0.0006535841966979206,0.0006535729044117033
2,4734,2025-11-18 15:37:50,people,1,0.9849023,0.002156815,0.9849023,0.002156815,0.0021568150259554386,0.002156814793124795,0.0021568150259554386,0.0021568150259554386,0.0021568150259554386
2,4735,2025-11-18 08:36:22,people,1,0.99706227,0.00041967985,0.99706227,0.00041967985,0.0004196798545308411,0.0004196798545308411,0.000419679912738502,0.0004197002272121608,0.0004196798545308411
2,4736,2025-11-18 08:39:15,people,1,0.9971471,0.00040755633,0.9971471,0.00040755633,0.00040755633381195366,0.00040755633381195366,0.0004075563629157841,0.00040756899397820234,0.00040755633381195366
2,4737,2025-11-18 09:13:04,people,1,0.9952627,0.0006767454,0.9952627,0.00067674543,0.0006767454324290156,0.0006767454324290156,0.0006767454324290156,0.0006768394378013909,0.0006767454324290156
2,4738,2025-11-18 16:57:18,people,1,0.99216527,0.0011192432,0.99216527,0.0011192432,0.001119243330322206,0.0011192432139068842,0.0011192432139068842,0.0011192972306162119,0.0011192432139068842
2,4739,2025-11-18 17:21:36,people,1,0.99026984,0.0013899999,0.99026984,0.0013899999,0.0013899998739361763,0.0013899998739361763,0.0013899998739361763,0.001390190445818007,0.0013899998739361763
2,4740,2025-11-18 09:43:14,people,1,0.9969603,0.00043424926,0.9969603,0.00043424926,0.00043424926116131246,0.00043424926116131246,0.0004342493193689734,0.0004342498432379216,0.00043424926116131246
2,4741,2025-11-18 11:28:55,people,1,0.9969496,0.00043576845,0.9969496,0.00043576845,0.0004357684520073235,0.0004357684520073235,0.00043576848111115396,0.00043579042539931834,0.0004357684520073235
2,4742,2025-11-18 05:52:29,people,1,0.99697053,0.0004327846,0.99697053,0.0004327846,0.0004327845526859164,0.0004327845526859164,0.0004327846399974078,0.000432785163866356,0.0004327845526859164
2,4743,2025-11-18 10:36:29,people,1,0.99712986,0.00041002364,0.99712986,0.0004100237,0.0004100236401427537,0.0004100236401427537,0.0004100361547898501,0.00041003600927069783,0.00041002369835041463
2,4744,2025-11-16 08:54:39,people,1,0.9953905,0.000658507,0.9953905,0.000658507,0.0006585069932043552,0.0006585069932043552,0.0006585070514120162,0.0006585114169865847,0.0006585069932043552
2,4746,2025-11-18 05:45:39,people,1,0.99695885,0.0004344501,0.99695885,0.0004344501,0.0004344501066952944,0.0004344501066952944,0.0004344501649029553,0.00043446451309137046,0.0004344501066952944
2,4747,2025-11-17 13:45:36,people,1,0.99320644,0.00097048655,0.99320644,0.00097048667,0.0009704865515232086,0.0009704865515232086,0.0009704866679385304,0.0009705516858957708,0.0009704866679385304
2,4748,2025-11-17 15:52:23,people,1,0.98767155,0.0017612103,0.98767155,0.0017612103,0.001761210267432034,0.001761210267432034,0.0017612105002626777,0.001761210267432034,0.001761210267432034
2,4750,2025-11-14 08:35:33,people,1,0.9946298,0.00076716946,0.9946298,0.00076716946,0.0007671694620512426,0.0007671694620512426,0.0007671695784665644,0.0007671695784665644,0.0007671694620512426
2,4752,2025-11-14 08:41:41,people,1,0.9977812,0.00031695943,0.9977812,0.00031695943,0.00031695945654064417,0.0003169594274368137,0.0003169594274368137,0.0003170050331391394,0.0003169594274368137
